"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename","trs_sos25_mean.x","trs_sos25_mean.y","trs_sos50_mean"
"206",106,135,163,212,229,269,309,123,135,151,232,245,269,287,0.316785531494394,0.083239792344592,0.232032822847777,0.233545739149802,0.00413930006308213,-0.00287307042833042,0.00171070082351262,-0.00255856879290165,2007,"DQS",125,125,136
"207",107,142,178,207,233,268,304,128,142,165,232,249,268,286,0.352684609769538,0.081184636495388,0.27149997327415,0.270601682389253,0.00390204873469404,-0.00376115706525373,0.00286917450491088,-0.00280770812716002,2008,"DQS",125,125,136
"208",106,129,152,163,227,264,300,119,129,140,206,244,264,282,0.375253004594381,0.0818005017656193,0.293452502828762,0.283842256605909,0.00650174484131808,-0.00380845985059926,0.00572010068177671,-0.00139321544723351,2009,"DQS",125,125,136
"209",123,144,164,171,231,269,306,135,144,153,192,246,269,286,0.368121663637773,0.0874617067854896,0.278426474057617,0.280659956852283,0.0068408979140624,-0.00369619387775051,0.00631599866485692,-0.00145861844644489,2010,"DQS",125,125,136
"210",116,141,166,174,228,264,300,129,141,153,220,241,264,281,0.337158056694037,0.0838034616847396,0.249057945235613,0.253354595009297,0.00512136462381785,-0.00347654251425322,0.00471485843948867,-0.00166069340645704,2011,"DQS",125,125,136
"211",107,134,161,203,237,267,297,124,134,149,229,249,267,281,0.363149781632595,0.0828198718246609,0.280329909807934,0.273617830115814,0.00531385610442772,-0.00447479788826283,0.00242205856758012,-0.00263707814937446,2012,"DQS",125,125,136
"212",106,135,163,197,229,266,303,124,135,154,227,246,266,284,0.420532164511785,0.0830787953507419,0.337453369161043,0.32110573217819,0.00604785633391492,-0.00430094409386076,0.00317336265641347,-0.002903536253038,2013,"DQS",125,125,136
"213",107,137,168,183,226,262,297,121,137,152,210,235,262,278,0.441566778310819,0.0881060518187014,0.346984484809419,0.353460726492118,0.00574831194887085,-0.00485482745936297,0.00499534139703811,-0.00243079116185969,2014,"DQS",125,125,136
"214",108,136,164,182,234,272,311,123,136,150,221,239,272,290,0.358187487012313,0.0806216391109752,0.274572279094503,0.277565847901338,0.00499165126199864,-0.00359388250134996,0.00396862819600712,-0.00184786433074612,2015,"DQS",125,125,136
"215",107,133,158,205,240,271,303,122,133,146,229,254,271,287,0.383428142131074,0.0879032849087363,0.295524857222338,0.29188344469296,0.00596163616060946,-0.0045659057488817,0.00257882446782682,-0.00266846325157439,2016,"DQS",125,125,136
"216",109,133,158,188,224,262,299,123,133,145,223,240,262,280,0.41509401160568,0.0905428168656783,0.324551194740002,0.310956355175908,0.00681529022951812,-0.00407819809973654,0.0041081763600835,-0.00280551495398695,2017,"DQS",125,125,136
"217",100,126,153,205,242,270,299,115,126,140,240,255,270,284,0.364717603913375,0.0936605033931895,0.262099738627541,0.271057100520185,0.0051266069769251,-0.00469783956030538,0.00175357416000349,-0.00273685625525818,2018,"DQS",125,125,136
"218",100,134,167,209,236,273,309,119,134,158,235,252,273,291,0.422343465455192,0.0787822938900943,0.328878226817268,0.343561171565098,0.00494732251225526,-0.00460437226301158,0.00237786116465469,-0.00340677089791405,2019,"DQS",125,125,136
"219",106,132,157,206,241,271,302,121,132,144,234,254,271,286,0.383795789228946,0.0927459567370675,0.290362702122034,0.291049832491879,0.00584639719701177,-0.00470510908445287,0.00202579658721388,-0.00275503161979697,2020,"DQS",125,125,136
"220",109,136,163,188,232,268,304,124,136,150,225,246,268,285,0.427622452193974,0.0891992728166824,0.338423179377291,0.331870703081099,0.00638225844105234,-0.00456325874659546,0.0043245512580402,-0.00260241016828779,2021,"DQS",125,125,136
"221",101,131,160,205,236,276,316,116,131,145,228,249,276,295,0.189685249540231,0.0828616418099791,0.106823607730252,0.0991804494662107,0.00186614847521574,-0.00122827916409796,0.000778964300650414,-0.000770963919849454,2000,"LMD",117,117,131
"222",94,121,148,153,249,282,315,79,121,133,164,194,282,297,0.151861296039184,0.0782280749417539,0.0736332210974302,0.0656371769630446,0.00140038900358482,-0.000987590783030445,0.0012822267644217,-0.000152630062141074,2001,"LMD",117,117,131
"223",107,140,172,210,229,273,317,127,140,166,228,248,273,297,0.282130507588744,0.0834413408297379,0.198689166759006,0.197541717545704,0.00308176766537005,-0.00222878320756912,0.0014435967610014,-0.00175257735601509,2002,"LMD",117,117,131
"224",105,133,160,219,247,281,315,121,133,147,238,258,281,297,0.316817568929978,0.0836223329602419,0.233195235969736,0.216373892092052,0.00436623964646021,-0.00317475887254504,0.00137699511130594,-0.00195999669313731,2003,"LMD",117,117,131
"225",102,128,153,174,232,265,299,116,128,141,228,247,265,282,0.334731412134384,0.100355947483685,0.234375464650699,0.226793959448809,0.00462024650794257,-0.00334579002868808,0.00345693598447772,-0.00146015763842482,2004,"LMD",117,117,131
"226",102,136,170,230,251,284,316,123,136,202,244,258,284,298,0.283932887278164,0.0953254282623121,0.188607459015851,0.177536453435951,0.00282897848256257,-0.00267972508294554,0.00101683437166618,-0.00192480427143754,2005,"LMD",117,117,131
"227",113,145,177,229,231,269,308,133,145,183,243,253,269,292,0.314204426052489,0.094605650633521,0.219598775418968,0.210322780107407,0.00351953760720764,-0.00271866455018136,0.00127943173079585,-0.00280598308459898,2006,"LMD",117,117,131
"228",91,134,176,222,242,279,317,119,134,169,236,251,279,297,0.266565782791285,0.0942992636932503,0.171239189177738,0.172266519098034,0.00205333426510542,-0.00227683283095356,0.00117888777017553,-0.00166909045137823,2007,"LMD",117,117,131
"229",39,155,NA,228,249,282,314,119,155,179,250,265,282,298,0.299738597204143,0.0792112588345915,0.220527338369551,0.201409671943679,0.000954787228825929,-0.00305752355081067,0.00157410279912439,-0.00240468209229071,2008,"LMD",117,117,131
"230",101,124,147,157,242,277,311,115,124,136,219,256,277,292,0.308951183546394,0.0955492817527792,0.213401901793615,0.202773249294479,0.00474711174076196,-0.00291552261231571,0.00426750875494269,-0.000809675792929721,2009,"LMD",117,117,131
"231",118,139,160,166,243,279,316,130,139,149,180,199,279,296,0.307000856651597,0.100299681270655,0.206701175380943,0.205378812863509,0.00507766079145634,-0.00277409246694904,0.00474317637927849,-0.000865365624454148,2010,"LMD",117,117,131
"232",105,128,151,162,235,272,309,119,128,140,204,245,272,290,0.244330598407743,0.0956066922278305,0.148044397409901,0.148723906179913,0.00329344990392607,-0.00197191544455322,0.00294036506229581,-0.000766529215683866,2011,"LMD",117,117,131
"233",104,130,156,210,251,280,309,119,130,144,253,265,280,295,0.304063877805777,0.0887000147166227,0.215363863089154,0.202889010000913,0.00421583093858494,-0.0034110244042052,0.00136205020489369,-0.0019406730186675,2012,"LMD",117,117,131
"234",99,132,166,210,239,276,312,120,132,166,238,254,276,293,0.366623096886972,0.0907725193460322,0.27585057754094,0.249412508160593,0.00412390839689195,-0.00335139252067006,0.00207195710348873,-0.00244968591691403,2013,"LMD",117,117,131
"235",83,122,162,205,232,268,305,106,122,146,233,247,268,285,0.350177327641045,0.10493849116021,0.243860910684248,0.245238836480835,0.00312086923322481,-0.00333053872033042,0.00201432444299036,-0.00259800655246337,2014,"LMD",117,117,131
"236",100,127,154,215,248,282,316,117,127,143,230,262,282,299,0.292834786068919,0.0974405933078644,0.192103067654818,0.195394192761055,0.00363643897888296,-0.00286564860708471,0.00100675932913333,-0.00161509163372279,2015,"LMD",117,117,131
"237",98,128,157,212,249,280,310,116,128,146,241,261,280,294,0.320446400265745,0.0975940110005108,0.222852389265234,0.20366734259932,0.00383725289163265,-0.00328007211280582,0.00176830591616478,-0.00188113552377794,2016,"LMD",117,117,131
"238",102,127,152,196,222,265,308,117,127,140,225,242,265,285,0.344181478030467,0.106849588319591,0.237331889710875,0.222866683410753,0.00486328318166173,-0.00254856556264089,0.00188884691900112,-0.0020814758464316,2017,"LMD",117,117,131
"239",93,129,166,224,244,274,303,114,129,192,244,258,274,288,0.330677289641802,0.114429376466701,0.216247913175101,0.210952848863833,0.00299841376514962,-0.00347383886701165,0.00126464084390344,-0.00276485466830675,2018,"LMD",117,117,131
"240",87,124,161,224,245,284,322,110,124,168,246,261,284,303,0.338409155856705,0.0930644459925394,0.226143966750978,0.245344709864166,0.00308719806062777,-0.00313062493191763,0.00129539267294502,-0.00247940510859766,2019,"LMD",117,117,131
"241",94,127,159,228,248,278,308,111,127,170,248,261,278,292,0.32898265525368,0.0936140119959319,0.235368643257748,0.214791657009125,0.00370931521668938,-0.00349031785146512,0.00121633827602208,-0.00282016112777651,2020,"LMD",117,117,131
"242",95,130,164,205,238,274,310,117,130,164,226,251,274,291,0.377531792577716,0.10640430018696,0.271127492390756,0.250651691033837,0.00402038406120305,-0.00340274517555328,0.00202322912910671,-0.00207015441971348,2021,"LMD",117,117,131
"243",119,145,171,212,244,275,305,135,145,162,245,259,275,290,0.391394227273242,0.137838407368269,0.247842014531835,0.253555819904972,0.00483519849321916,-0.00409123719545934,0.00210161555541831,-0.00271451262499066,2000,"PQG",123,123,133
"244",111,132,154,213,245,270,296,124,132,142,242,257,270,283,0.393923304610929,0.13389580221513,0.260027502395799,0.254463628121047,0.00628173696197465,-0.00486815596343777,0.00153360285505535,-0.00297127631599658,2001,"PQG",123,123,133
"245",116,140,165,206,230,266,303,131,140,153,225,242,266,283,0.447197919869886,0.13447115397134,0.312726765898546,0.293710815433871,0.00656648032141091,-0.00400223914986044,0.00276270925000435,-0.00276462707544358,2002,"PQG",123,123,133
"246",112,134,156,166,217,268,319,125,134,144,189,233,268,286,0.448596291700435,0.144951629542175,0.30364466215826,0.287025754178633,0.00706880486719634,-0.00278211572360604,0.00630188212877146,-0.00157146392125888,2003,"PQG",123,123,133
"247",102,134,166,204,220,263,306,120,134,151,223,239,263,283,0.443594690587264,0.147557587631071,0.293017791100344,0.296037102956193,0.00466166200981707,-0.00339165296669535,0.0027493467862556,-0.00292158762484652,2004,"PQG",123,123,133
"248",110,133,155,192,233,270,306,123,133,144,233,249,270,287,0.43252950137257,0.147539977042623,0.284989524329947,0.274470916199748,0.00656553716034203,-0.00367978173743969,0.00332809884679553,-0.00226875416474744,2005,"PQG",123,123,133
"249",111,133,156,186,240,268,296,124,133,144,237,254,268,282,0.452423674558691,0.141953791717429,0.310469882841262,0.298483663504518,0.00705118926388521,-0.00528945670922608,0.00425748638296471,-0.00203413654403469,2006,"PQG",123,123,133
