"","Site","lat","lon","date","Year","month","NDVI"
"157","TLG",36.69,102.73,1988-01-08,1988,1,0.3458
"158","TLG",36.69,102.73,1988-01-21,1988,1,0.2868
"159","TLG",36.69,102.73,1988-02-08,1988,2,0.3178
"160","TLG",36.69,102.73,1988-02-21,1988,2,0.2558
"161","TLG",36.69,102.73,1988-03-08,1988,3,0.2918
"162","TLG",36.69,102.73,1988-03-21,1988,3,0.1758
"163","TLG",36.69,102.73,1988-04-08,1988,4,0.3068
"164","TLG",36.69,102.73,1988-04-21,1988,4,0.2998
"165","TLG",36.69,102.73,1988-05-08,1988,5,0.334
"166","TLG",36.69,102.73,1988-05-21,1988,5,0.4108
"167","TLG",36.69,102.73,1988-06-08,1988,6,0.6388
"168","TLG",36.69,102.73,1988-06-21,1988,6,0.8128
"169","TLG",36.69,102.73,1988-07-08,1988,7,0.7788
"170","TLG",36.69,102.73,1988-07-21,1988,7,0.7878
"171","TLG",36.69,102.73,1988-08-08,1988,8,0.7928
"172","TLG",36.69,102.73,1988-08-21,1988,8,0.6158
"173","TLG",36.69,102.73,1988-09-08,1988,9,0.6768
"174","TLG",36.69,102.73,1988-09-21,1988,9,0.4208
"175","TLG",36.69,102.73,1988-10-08,1988,10,0.1898
"176","TLG",36.69,102.73,1988-10-21,1988,10,0.5388
"177","TLG",36.69,102.73,1988-11-08,1988,11,0.4078
"178","TLG",36.69,102.73,1988-11-21,1988,11,0.4098
"179","TLG",36.69,102.73,1988-12-08,1988,12,0.3298
"180","TLG",36.69,102.73,1988-12-21,1988,12,0.3698
"181","TLG",36.69,102.73,1989-01-08,1989,1,0.3628
"182","TLG",36.69,102.73,1989-01-21,1989,1,0.2998
"183","TLG",36.69,102.73,1989-02-08,1989,2,0.2968
"184","TLG",36.69,102.73,1989-02-21,1989,2,0.2528
"185","TLG",36.69,102.73,1989-03-08,1989,3,0.2728
"186","TLG",36.69,102.73,1989-03-21,1989,3,0.2238
"187","TLG",36.69,102.73,1989-04-08,1989,4,0.2558
"188","TLG",36.69,102.73,1989-04-21,1989,4,0.2898
"189","TLG",36.69,102.73,1989-05-08,1989,5,0.351
"190","TLG",36.69,102.73,1989-05-21,1989,5,0.5028
"191","TLG",36.69,102.73,1989-06-08,1989,6,0.5498
"192","TLG",36.69,102.73,1989-06-21,1989,6,0.6368
"193","TLG",36.69,102.73,1989-07-08,1989,7,0.2118
"194","TLG",36.69,102.73,1989-07-21,1989,7,0.8438
"195","TLG",36.69,102.73,1989-08-08,1989,8,0.7028
"196","TLG",36.69,102.73,1989-08-21,1989,8,0.7408
"197","TLG",36.69,102.73,1989-09-08,1989,9,0.6678
"198","TLG",36.69,102.73,1989-09-21,1989,9,0.6838
"199","TLG",36.69,102.73,1989-10-08,1989,10,0.479
"200","TLG",36.69,102.73,1989-10-21,1989,10,0.4508
"201","TLG",36.69,102.73,1989-11-08,1989,11,0.3958
"202","TLG",36.69,102.73,1989-11-21,1989,11,0.4038
"203","TLG",36.69,102.73,1989-12-08,1989,12,0.3838
"204","TLG",36.69,102.73,1989-12-21,1989,12,0.4038
"205","TLG",36.69,102.73,1990-01-08,1990,1,0.3608
"206","TLG",36.69,102.73,1990-01-21,1990,1,0.3208
"207","TLG",36.69,102.73,1990-02-08,1990,2,0.3828
"208","TLG",36.69,102.73,1990-02-21,1990,2,0.3858
"209","TLG",36.69,102.73,1990-03-08,1990,3,0.3478
"210","TLG",36.69,102.73,1990-03-21,1990,3,0.2968
"211","TLG",36.69,102.73,1990-04-08,1990,4,0.5208
"212","TLG",36.69,102.73,1990-04-21,1990,4,0.352
"213","TLG",36.69,102.73,1990-05-08,1990,5,0.4238
"214","TLG",36.69,102.73,1990-05-21,1990,5,0.4718
"215","TLG",36.69,102.73,1990-06-08,1990,6,0.6328
"216","TLG",36.69,102.73,1990-06-21,1990,6,0.7868
"217","TLG",36.69,102.73,1990-07-08,1990,7,0.8028
"218","TLG",36.69,102.73,1990-07-21,1990,7,0.7578
"219","TLG",36.69,102.73,1990-08-08,1990,8,0.8188
"220","TLG",36.69,102.73,1990-08-21,1990,8,0.6148
"221","TLG",36.69,102.73,1990-09-08,1990,9,0.7068
"222","TLG",36.69,102.73,1990-09-21,1990,9,0.6898
"223","TLG",36.69,102.73,1990-10-08,1990,10,0.6298
"224","TLG",36.69,102.73,1990-10-21,1990,10,0.4408
"225","TLG",36.69,102.73,1990-11-08,1990,11,0.3238
"226","TLG",36.69,102.73,1990-11-21,1990,11,0.2398
"227","TLG",36.69,102.73,1990-12-08,1990,12,0.3038
"228","TLG",36.69,102.73,1990-12-21,1990,12,0.3858
"229","TLG",36.69,102.73,1991-01-08,1991,1,0.3758
"230","TLG",36.69,102.73,1991-01-21,1991,1,0.3948
"231","TLG",36.69,102.73,1991-02-08,1991,2,0.2788
"232","TLG",36.69,102.73,1991-02-21,1991,2,0.3308
"233","TLG",36.69,102.73,1991-03-08,1991,3,0.3748
"234","TLG",36.69,102.73,1991-03-21,1991,3,0.3108
"235","TLG",36.69,102.73,1991-04-08,1991,4,0.3898
"236","TLG",36.69,102.73,1991-04-21,1991,4,0.4578
"237","TLG",36.69,102.73,1991-05-08,1991,5,0.341
"238","TLG",36.69,102.73,1991-05-21,1991,5,0.5488
"239","TLG",36.69,102.73,1991-06-08,1991,6,0.4378
"240","TLG",36.69,102.73,1991-06-21,1991,6,0.7908
"241","TLG",36.69,102.73,1991-07-08,1991,7,0.6298
"242","TLG",36.69,102.73,1991-07-21,1991,7,0.6708
"243","TLG",36.69,102.73,1991-08-08,1991,8,0.6038
"244","TLG",36.69,102.73,1991-08-21,1991,8,0.7568
"245","TLG",36.69,102.73,1991-09-08,1991,9,0.5618
"246","TLG",36.69,102.73,1991-09-21,1991,9,0.6158
"247","TLG",36.69,102.73,1991-10-08,1991,10,0.491
"248","TLG",36.69,102.73,1991-10-21,1991,10,0.422
"249","TLG",36.69,102.73,1991-11-08,1991,11,0.4468
"250","TLG",36.69,102.73,1991-11-21,1991,11,0.3318
"251","TLG",36.69,102.73,1991-12-08,1991,12,0.4378
"252","TLG",36.69,102.73,1991-12-21,1991,12,0.2248
"253","TLG",36.69,102.73,1992-01-08,1992,1,0.3897
"254","TLG",36.69,102.73,1992-01-21,1992,1,0.3048
"255","TLG",36.69,102.73,1992-02-08,1992,2,0.2918
"256","TLG",36.69,102.73,1992-02-21,1992,2,0.2891
"257","TLG",36.69,102.73,1992-03-08,1992,3,0.2803
"258","TLG",36.69,102.73,1992-03-21,1992,3,0.2992
"259","TLG",36.69,102.73,1992-04-08,1992,4,0.3321
"260","TLG",36.69,102.73,1992-04-21,1992,4,0.3999
"261","TLG",36.69,102.73,1992-05-08,1992,5,0.3357
"262","TLG",36.69,102.73,1992-05-21,1992,5,0.5165
"263","TLG",36.69,102.73,1992-06-08,1992,6,0.5172
"264","TLG",36.69,102.73,1992-06-21,1992,6,0.574
"265","TLG",36.69,102.73,1992-07-08,1992,7,0.5759
"266","TLG",36.69,102.73,1992-07-21,1992,7,0.697
"267","TLG",36.69,102.73,1992-08-08,1992,8,0.7499
"268","TLG",36.69,102.73,1992-08-21,1992,8,0.7498
"269","TLG",36.69,102.73,1992-09-08,1992,9,0.4622
"270","TLG",36.69,102.73,1992-09-21,1992,9,0.5967
"271","TLG",36.69,102.73,1992-10-08,1992,10,0.4797
"272","TLG",36.69,102.73,1992-10-21,1992,10,0.3609
"273","TLG",36.69,102.73,1992-11-08,1992,11,0.3429
"274","TLG",36.69,102.73,1992-11-21,1992,11,0.3381
"275","TLG",36.69,102.73,1992-12-08,1992,12,0.2977
"276","TLG",36.69,102.73,1992-12-21,1992,12,0.2792
"277","TLG",36.69,102.73,1993-01-08,1993,1,0.3056
"278","TLG",36.69,102.73,1993-01-21,1993,1,0.2924
"279","TLG",36.69,102.73,1993-02-08,1993,2,0.257
"280","TLG",36.69,102.73,1993-02-21,1993,2,0.3034
"281","TLG",36.69,102.73,1993-03-08,1993,3,0.3239
"282","TLG",36.69,102.73,1993-03-21,1993,3,0.3808
"283","TLG",36.69,102.73,1993-04-08,1993,4,0.3397
"284","TLG",36.69,102.73,1993-04-21,1993,4,0.349
"285","TLG",36.69,102.73,1993-05-08,1993,5,0.3531
"286","TLG",36.69,102.73,1993-05-21,1993,5,0.5911
"287","TLG",36.69,102.73,1993-06-08,1993,6,0.6813
"288","TLG",36.69,102.73,1993-06-21,1993,6,0.8013
"289","TLG",36.69,102.73,1993-07-08,1993,7,0.6889
"290","TLG",36.69,102.73,1993-07-21,1993,7,0.7768
"291","TLG",36.69,102.73,1993-08-08,1993,8,0.7926
"292","TLG",36.69,102.73,1993-08-21,1993,8,0.6904
"293","TLG",36.69,102.73,1993-09-08,1993,9,0.6115
"294","TLG",36.69,102.73,1993-09-21,1993,9,0.5943
"295","TLG",36.69,102.73,1993-10-08,1993,10,0.4882
"296","TLG",36.69,102.73,1993-10-21,1993,10,0.4674
"297","TLG",36.69,102.73,1993-11-08,1993,11,0.367
"298","TLG",36.69,102.73,1993-11-21,1993,11,0.2573
"299","TLG",36.69,102.73,1993-12-08,1993,12,0.3071
"300","TLG",36.69,102.73,1993-12-21,1993,12,0.3735
"301","TLG",36.69,102.73,1994-01-08,1994,1,0.3163
"302","TLG",36.69,102.73,1994-01-21,1994,1,0.3268
"303","TLG",36.69,102.73,1994-02-08,1994,2,0.2893
"304","TLG",36.69,102.73,1994-02-21,1994,2,0.3133
"305","TLG",36.69,102.73,1994-03-08,1994,3,0.3013
"306","TLG",36.69,102.73,1994-03-21,1994,3,0.3528
"307","TLG",36.69,102.73,1994-04-08,1994,4,0.2232
"308","TLG",36.69,102.73,1994-04-21,1994,4,0.3703
"309","TLG",36.69,102.73,1994-05-08,1994,5,0.3766
"310","TLG",36.69,102.73,1994-05-21,1994,5,0.538
"311","TLG",36.69,102.73,1994-06-08,1994,6,0.6512
"312","TLG",36.69,102.73,1994-06-21,1994,6,0.7063
"313","TLG",36.69,102.73,1994-07-08,1994,7,0.4772
"314","TLG",36.69,102.73,1994-07-21,1994,7,0.7836
"315","TLG",36.69,102.73,1994-08-08,1994,8,0.6678
"316","TLG",36.69,102.73,1994-08-21,1994,8,0.7319
"317","TLG",36.69,102.73,1994-09-08,1994,9,0.6471
"318","TLG",36.69,102.73,1994-09-21,1994,9,0.6178
"319","TLG",36.69,102.73,1994-10-08,1994,10,0.4778
"320","TLG",36.69,102.73,1994-10-21,1994,10,0.4427
"321","TLG",36.69,102.73,1994-11-08,1994,11,0.3805
"322","TLG",36.69,102.73,1994-11-21,1994,11,0.3949
"323","TLG",36.69,102.73,1994-12-08,1994,12,0.3222
"324","TLG",36.69,102.73,1994-12-21,1994,12,0.3994
"325","TLG",36.69,102.73,1995-01-08,1995,1,0.4398
"326","TLG",36.69,102.73,1995-01-21,1995,1,0.3078
"327","TLG",36.69,102.73,1995-02-08,1995,2,0.3218
"328","TLG",36.69,102.73,1995-02-21,1995,2,0.2438
"329","TLG",36.69,102.73,1995-03-08,1995,3,0.3208
"330","TLG",36.69,102.73,1995-03-21,1995,3,0.3298
"331","TLG",36.69,102.73,1995-04-08,1995,4,0.3288
"332","TLG",36.69,102.73,1995-04-21,1995,4,0.3918
"333","TLG",36.69,102.73,1995-05-08,1995,5,0.3858
"334","TLG",36.69,102.73,1995-05-21,1995,5,0.5318
"335","TLG",36.69,102.73,1995-06-08,1995,6,0.4668
"336","TLG",36.69,102.73,1995-06-21,1995,6,0.6678
"337","TLG",36.69,102.73,1995-07-08,1995,7,0.5858
"338","TLG",36.69,102.73,1995-07-21,1995,7,0.6988
"339","TLG",36.69,102.73,1995-08-08,1995,8,0.7508
"340","TLG",36.69,102.73,1995-08-21,1995,8,0.7918
"341","TLG",36.69,102.73,1995-09-08,1995,9,0.5098
"342","TLG",36.69,102.73,1995-09-21,1995,9,0.6498
"343","TLG",36.69,102.73,1995-10-08,1995,10,0.5358
"344","TLG",36.69,102.73,1995-10-21,1995,10,0.391
"345","TLG",36.69,102.73,1995-11-08,1995,11,0.3888
"346","TLG",36.69,102.73,1995-11-21,1995,11,0.3738
"347","TLG",36.69,102.73,1995-12-08,1995,12,0.3358
"348","TLG",36.69,102.73,1995-12-21,1995,12,0.3428
"349","TLG",36.69,102.73,1996-01-08,1996,1,0.3548
"350","TLG",36.69,102.73,1996-01-21,1996,1,0.3098
"351","TLG",36.69,102.73,1996-02-08,1996,2,0.2768
"352","TLG",36.69,102.73,1996-02-21,1996,2,0.2788
"353","TLG",36.69,102.73,1996-03-08,1996,3,0.3428
"354","TLG",36.69,102.73,1996-03-21,1996,3,0.3898
"355","TLG",36.69,102.73,1996-04-08,1996,4,0.3748
"356","TLG",36.69,102.73,1996-04-21,1996,4,0.3838
"357","TLG",36.69,102.73,1996-05-08,1996,5,0.34
"358","TLG",36.69,102.73,1996-05-21,1996,5,0.5788
"359","TLG",36.69,102.73,1996-06-08,1996,6,0.6648
"360","TLG",36.69,102.73,1996-06-21,1996,6,0.8328
"361","TLG",36.69,102.73,1996-07-08,1996,7,0.6718
"362","TLG",36.69,102.73,1996-07-21,1996,7,0.8008
"363","TLG",36.69,102.73,1996-08-08,1996,8,0.8448
"364","TLG",36.69,102.73,1996-08-21,1996,8,0.7438
"365","TLG",36.69,102.73,1996-09-08,1996,9,0.6388
"366","TLG",36.69,102.73,1996-09-21,1996,9,0.6138
"367","TLG",36.69,102.73,1996-10-08,1996,10,0.5778
"368","TLG",36.69,102.73,1996-10-21,1996,10,0.4968
"369","TLG",36.69,102.73,1996-11-08,1996,11,0.3928
"370","TLG",36.69,102.73,1996-11-21,1996,11,0.3068
"371","TLG",36.69,102.73,1996-12-08,1996,12,0.3668
"372","TLG",36.69,102.73,1996-12-21,1996,12,0.4278
"373","TLG",36.69,102.73,1997-01-08,1997,1,0.3388
"374","TLG",36.69,102.73,1997-01-21,1997,1,0.3778
"375","TLG",36.69,102.73,1997-02-08,1997,2,0.3178
"376","TLG",36.69,102.73,1997-02-21,1997,2,0.3658
"377","TLG",36.69,102.73,1997-03-08,1997,3,0.3358
"378","TLG",36.69,102.73,1997-03-21,1997,3,0.4038
"379","TLG",36.69,102.73,1997-04-08,1997,4,0.2208
"380","TLG",36.69,102.73,1997-04-21,1997,4,0.4078
"381","TLG",36.69,102.73,1997-05-08,1997,5,0.4258
"382","TLG",36.69,102.73,1997-05-21,1997,5,0.5758
"383","TLG",36.69,102.73,1997-06-08,1997,6,0.6878
"384","TLG",36.69,102.73,1997-06-21,1997,6,0.7408
"385","TLG",36.69,102.73,1997-07-08,1997,7,0.429
"386","TLG",36.69,102.73,1997-07-21,1997,7,0.8208
